#node,groups,status,statustime,appstatus,appstatustime,primarysn,hidden,updatestatus,updatestatustime,zonename,comments,disable
"controller","xcat",,,,,,,,,,,
"controller-1","xcat",,,,,,,,,,,
"controller-2","xcat",,,,,,,,,,,
"switch","xcat",,,,,,,,,,,
"login-a","login",,,,,,,,,,,
